bnds,year,height,lat_bnds,lon_bnds,tas,climatology
1.0,1938,2.0,-0.5,179.375,277.66022,0.33596802
1.0,1939,2.0,-0.5,179.375,277.5536,0.2293396
1.0,1940,2.0,-0.5,179.375,277.63837,0.31411743
1.0,1941,2.0,-0.5,179.375,277.46072,0.13647461
1.0,1942,2.0,-0.5,179.375,277.46323,0.13897705
1.0,1943,2.0,-0.5,179.375,277.50098,0.1767273
1.0,1944,2.0,-0.5,179.375,277.41156,0.08731079
1.0,1945,2.0,-0.5,179.375,277.3483,0.024047852
1.0,1946,2.0,-0.5,179.375,277.30103,-0.023223877
1.0,1947,2.0,-0.5,179.375,277.53928,0.21502686
1.0,1948,2.0,-0.5,179.375,277.49173,0.16748047
1.0,1949,2.0,-0.5,179.375,277.36563,0.041381836
1.0,1950,2.0,-0.5,179.375,277.53918,0.2149353
1.0,1951,2.0,-0.5,179.375,277.3368,0.012542725
1.0,1952,2.0,-0.5,179.375,277.3719,0.04763794
1.0,1953,2.0,-0.5,179.375,277.5115,0.18725586
1.0,1954,2.0,-0.5,179.375,277.5216,0.19735718
1.0,1955,2.0,-0.5,179.375,277.52026,0.1960144
1.0,1956,2.0,-0.5,179.375,277.48123,0.15698242
1.0,1957,2.0,-0.5,179.375,277.50366,0.17941284
1.0,1958,2.0,-0.5,179.375,277.6468,0.32254028
1.0,1959,2.0,-0.5,179.375,277.64816,0.32391357
1.0,1960,2.0,-0.5,179.375,277.5747,0.25045776
1.0,1961,2.0,-0.5,179.375,277.47873,0.15447998
1.0,1962,2.0,-0.5,179.375,277.5357,0.2114563
1.0,1963,2.0,-0.5,179.375,277.42975,0.10549927
1.0,1964,2.0,-0.5,179.375,277.05106,-0.27319336
1.0,1965,2.0,-0.5,179.375,277.1397,-0.1845398
1.0,1966,2.0,-0.5,179.375,277.3556,0.031341553
1.0,1967,2.0,-0.5,179.375,277.4069,0.0826416
1.0,1968,2.0,-0.5,179.375,277.60098,0.2767334
1.0,1969,2.0,-0.5,179.375,277.4697,0.14544678
1.0,1970,2.0,-0.5,179.375,277.35995,0.035705566
1.0,1971,2.0,-0.5,179.375,277.3632,0.03894043
1.0,1972,2.0,-0.5,179.375,277.55716,0.23291016
1.0,1973,2.0,-0.5,179.375,277.72714,0.40289307
1.0,1974,2.0,-0.5,179.375,277.47906,0.15481567
1.0,1975,2.0,-0.5,179.375,277.2652,-0.059051514
1.0,1976,2.0,-0.5,179.375,277.4229,0.09866333
1.0,1977,2.0,-0.5,179.375,277.51102,0.18676758
1.0,1978,2.0,-0.5,179.375,277.3496,0.025360107
1.0,1979,2.0,-0.5,179.375,277.35754,0.033294678
1.0,1980,2.0,-0.5,179.375,277.27908,-0.045166016
1.0,1981,2.0,-0.5,179.375,277.49106,0.16680908
1.0,1982,2.0,-0.5,179.375,277.57092,0.24667358
1.0,1983,2.0,-0.5,179.375,277.3803,0.05606079
1.0,1984,2.0,-0.5,179.375,277.35934,0.035095215
1.0,1985,2.0,-0.5,179.375,277.39017,0.06591797
1.0,1986,2.0,-0.5,179.375,277.6177,0.29345703
1.0,1987,2.0,-0.5,179.375,277.77805,0.4537964
1.0,1988,2.0,-0.5,179.375,277.5776,0.25335693
1.0,1989,2.0,-0.5,179.375,277.64432,0.32006836
1.0,1990,2.0,-0.5,179.375,277.91953,0.5952759
1.0,1991,2.0,-0.5,179.375,278.001,0.6767578
1.0,1992,2.0,-0.5,179.375,277.25174,-0.072509766
1.0,1993,2.0,-0.5,179.375,277.30975,-0.01449585
1.0,1994,2.0,-0.5,179.375,277.50162,0.17736816
1.0,1995,2.0,-0.5,179.375,277.5225,0.19824219
1.0,1996,2.0,-0.5,179.375,277.6702,0.34594727
1.0,1997,2.0,-0.5,179.375,277.70218,0.3779297
1.0,1998,2.0,-0.5,179.375,277.766,0.44174194
1.0,1999,2.0,-0.5,179.375,277.84955,0.5252991
1.0,2000,2.0,-0.5,179.375,277.94406,0.619812
1.0,2001,2.0,-0.5,179.375,278.06226,0.7380066
1.0,2002,2.0,-0.5,179.375,278.03198,0.70773315
1.0,2003,2.0,-0.5,179.375,278.001,0.6767578
1.0,2004,2.0,-0.5,179.375,277.99435,0.670105
1.0,2005,2.0,-0.5,179.375,278.01666,0.69241333
1.0,2006,2.0,-0.5,179.375,277.94293,0.61868286
1.0,2007,2.0,-0.5,179.375,277.91516,0.59091187
1.0,2008,2.0,-0.5,179.375,277.96628,0.6420288
1.0,2009,2.0,-0.5,179.375,278.1753,0.8510437
1.0,2010,2.0,-0.5,179.375,278.1045,0.7802429
1.0,2011,2.0,-0.5,179.375,278.09766,0.773407
1.0,2012,2.0,-0.5,179.375,278.20468,0.8804321
1.0,2013,2.0,-0.5,179.375,278.20956,0.88531494
1.0,2014,2.0,-0.5,179.375,278.0566,0.73236084
1.0,2015,2.0,-0.5,179.375,278.13507,0.81082153
1.0,2016,2.0,-0.5,179.375,278.49167,1.1674194
1.0,2017,2.0,-0.5,179.375,278.604,1.2797546
1.0,2018,2.0,-0.5,179.375,278.70023,1.3759766
1.0,2019,2.0,-0.5,179.375,278.6755,1.3512573
1.0,2020,2.0,-0.5,179.375,278.42917,1.1049194
1.0,2021,2.0,-0.5,179.375,278.48978,1.1655273
1.0,2022,2.0,-0.5,179.375,278.67694,1.3526917
1.0,2023,2.0,-0.5,179.375,278.71472,1.3904724
1.0,2024,2.0,-0.5,179.375,278.58685,1.2626038
1.0,2025,2.0,-0.5,179.375,278.64865,1.3244019
1.0,2026,2.0,-0.5,179.375,278.78305,1.4588013
1.0,2027,2.0,-0.5,179.375,278.5881,1.263855
1.0,2028,2.0,-0.5,179.375,278.6514,1.3271484
1.0,2029,2.0,-0.5,179.375,278.61844,1.2941895
1.0,2030,2.0,-0.5,179.375,278.9181,1.5938416
1.0,2031,2.0,-0.5,179.375,278.71268,1.3884277
1.0,2032,2.0,-0.5,179.375,278.85257,1.5283203
1.0,2033,2.0,-0.5,179.375,278.66342,1.3391724
1.0,2034,2.0,-0.5,179.375,278.8276,1.5033569
1.0,2035,2.0,-0.5,179.375,279.04764,1.7233887
1.0,2036,2.0,-0.5,179.375,279.01694,1.692688
1.0,2037,2.0,-0.5,179.375,278.9942,1.6699524
1.0,2038,2.0,-0.5,179.375,279.07928,1.7550354
1.0,2039,2.0,-0.5,179.375,278.90665,1.5823975
1.0,2040,2.0,-0.5,179.375,278.8492,1.5249634
