year,height,tas,climatology
1850,2.0,285.5647205868374,0.04393284800676156
1851,2.0,285.49441440619484,-0.02637333263578512
1852,2.0,285.5361431433734,0.015355404542788165
1853,2.0,285.5738977299078,0.05310999107717862
1854,2.0,285.5603868891137,0.03959915028309524
1855,2.0,285.6410761922236,0.12028845339295913
1856,2.0,285.52609996229944,0.005312223468820321
1857,2.0,285.5084793867365,-0.01230835209412362
1858,2.0,285.4347589963323,-0.08602874249834258
1859,2.0,285.5203301534375,-0.0004575853931214624
1860,2.0,285.53755640531676,0.016768666486143502
1861,2.0,285.33707386217566,-0.18371387665496286
1862,2.0,285.4394566968186,-0.08133104201203878
1863,2.0,285.43380713941406,-0.08698059941656311
1864,2.0,285.406298781028,-0.11448895780262092
1865,2.0,285.4588045852989,-0.061983153531741664
1866,2.0,285.47823140135466,-0.04255633747595766
1867,2.0,285.3719924017473,-0.14879533708329973
1868,2.0,285.4181566546907,-0.1026310841399436
1869,2.0,285.45583138004116,-0.06495635878945905
1870,2.0,285.4740591202082,-0.04672861862241007
1871,2.0,285.47084637596,-0.04994136287064066
1872,2.0,285.40977796681955,-0.11100977201107298
1873,2.0,285.4482419555866,-0.07254578324403838
1874,2.0,285.4449233120406,-0.07586442679001948
1875,2.0,285.5630361713502,0.0422484325195569
1876,2.0,285.466233360591,-0.054554378239629386
1877,2.0,285.47389566110144,-0.0468920777291828
1878,2.0,285.4618139433526,-0.05897379547803894
1879,2.0,285.49307977159805,-0.027707967232572628
1880,2.0,285.6312197971879,0.11043205835727576
1881,2.0,285.42724422036474,-0.0935435184658786
1882,2.0,285.6080810588468,0.0872933200161583
1883,2.0,285.6006928525121,0.079905113681491
1884,2.0,285.3789280292694,-0.14185970956123128
1885,2.0,285.33208141474086,-0.18870632408976462
1886,2.0,285.563951384947,0.04316364611639756
1887,2.0,285.6350121391081,0.11422440027746461
1888,2.0,285.77541264713875,0.25462490830813067
1889,2.0,285.63273329890313,0.11194556007251322
1890,2.0,285.57192733716823,0.05113959833761328
1891,2.0,285.5465235287475,0.025735789916893737
1892,2.0,285.6125876662331,0.09179992740246234
1893,2.0,285.64521368418855,0.1244259453579275
1894,2.0,285.5825390740069,0.061751335176268185
1895,2.0,285.66345605281344,0.1426683139828242
1896,2.0,285.51257557456506,-0.00821216426555793
1897,2.0,285.51600862055756,-0.004779118273063432
1898,2.0,285.6077036360419,0.08691589721127002
1899,2.0,285.6784439994567,0.15765626062608362
1900,2.0,285.63441427061144,0.11362653178082383
1901,2.0,285.63919051841947,0.11840277958884826
1902,2.0,285.6691753107487,0.14838757191807872
1903,2.0,285.5605806343087,0.0397928954780582
1904,2.0,285.5017319562647,-0.019055782565942536
1905,2.0,285.556802584322,0.03601484549136558
1906,2.0,285.66352459273554,0.1427368539049212
1907,2.0,285.5163458917072,-0.0044418471234166645
1908,2.0,285.45330995771855,-0.06747778111207481
1909,2.0,285.47583657466646,-0.04495116416416067
1910,2.0,285.5376119521462,0.016824213315601355
1911,2.0,285.55632598364156,0.0355382448109367
1912,2.0,285.61628730353095,0.09549956470033294
1913,2.0,285.5157076246114,-0.005080114219197185
1914,2.0,285.6635235060538,0.14273576722320058
1915,2.0,285.6934477081138,0.17265996928318827
1916,2.0,285.71366466746883,0.19287692863821349
1917,2.0,285.7264444721609,0.20565673333027235
1918,2.0,285.6896155912521,0.16882785242148657
1919,2.0,285.70563079301803,0.18484305418741087
1920,2.0,285.7254815989113,0.20469386008068113
1921,2.0,285.63584378664524,0.11505604781461898
1922,2.0,285.62961753574166,0.10882979691103856
1923,2.0,285.71580076996673,0.19501303113611357
1924,2.0,285.8375503008199,0.31676256198926467
1925,2.0,285.9504818679735,0.42969412914288796
1926,2.0,285.8617539730373,0.3409662342066895
1927,2.0,285.8774132035899,0.3566254647593041
1928,2.0,285.93873012539,0.417942386559389
1929,2.0,286.03960459633277,0.518816857502145
1930,2.0,285.87355130562446,0.3527635667938398
1931,2.0,286.01820453119024,0.49741679235961556
1932,2.0,285.9970331327132,0.476245393882607
1933,2.0,285.9898693637724,0.4690816249417935
1934,2.0,285.9193069801373,0.39851924130670113
1935,2.0,285.90992461986434,0.38913688103372124
1936,2.0,285.9966325668888,0.47584482805820016
1937,2.0,285.93874203044317,0.4179542916125456
1938,2.0,285.85845733101064,0.3376695921800206
1939,2.0,285.99599402290846,0.47520628407784216
1940,2.0,285.9448153976289,0.4240276587982521
1941,2.0,285.8825915233704,0.3618037845398021
1942,2.0,285.9078993905958,0.38711165176516715
1943,2.0,285.8852589298522,0.3644711910216074
1944,2.0,285.874426103767,0.353638364936387
1945,2.0,285.8840552177086,0.3632674788779582
1946,2.0,285.8696405942345,0.34885285540389077
1947,2.0,285.94069693191307,0.41990919308244656
1948,2.0,286.01355817292733,0.4927704340967125
1949,2.0,286.00154105737397,0.4807533185433499
1950,2.0,286.02500202525204,0.5042142864214156
1951,2.0,286.01872889465665,0.4979411558260267
1952,2.0,285.95700889052404,0.4362211516934167
1953,2.0,285.98104792701,0.4602601881794044
1954,2.0,286.0013321471088,0.480544408278206
1955,2.0,286.07771275371954,0.5569250148889182
1956,2.0,285.9516528205238,0.4308650816931845
1957,2.0,285.99593564156777,0.4751479027371488
1958,2.0,286.0660281202135,0.5452403813828823
1959,2.0,286.15855533803403,0.6377675992034142
1960,2.0,286.160204370716,0.6394166318853536
1961,2.0,286.08760371680927,0.5668159779786492
1962,2.0,286.0398655557991,0.5190778169684904
1963,2.0,286.04093917920886,0.5201514403782426
1964,2.0,286.07573940374397,0.5549516649133466
1965,2.0,286.04075337799867,0.5199656391680492
1966,2.0,286.1314718803761,0.6106841415455051
1967,2.0,286.1443631614808,0.6235754226501626
1968,2.0,286.1168235912427,0.5960358524120579
1969,2.0,286.15026861640405,0.6294808775734282
1970,2.0,286.1112293773445,0.5904416385138802
1971,2.0,286.09891737847425,0.5781296396436346
1972,2.0,286.1625810737871,0.6417933349565033
1973,2.0,286.0968874292173,0.576099690386684
1974,2.0,286.2117731616307,0.690985422800054
1975,2.0,286.20762226099276,0.6868345221621439
1976,2.0,286.13508000518914,0.6142922663585182
1977,2.0,286.18197328519256,0.6611855463619349
1978,2.0,286.1865689947853,0.6657812559546983
1979,2.0,286.1011609089228,0.580373170092173
1980,2.0,286.18916634803736,0.6683786092067407
1981,2.0,286.2083726070503,0.6875848682196875
1982,2.0,286.29183544764703,0.7710477088164112
1983,2.0,286.0230800854456,0.5022923466149791
1984,2.0,286.0624274883534,0.5416397495228011
1985,2.0,286.1862186202541,0.6654308814235037
1986,2.0,286.07390530386436,0.5531175650337445
1987,2.0,286.16365776071905,0.6428700218884273
1988,2.0,286.21568674492005,0.6948990060894289
1989,2.0,286.2505020137941,0.7297142749634986
1990,2.0,286.2617313007373,0.740943561906704
1991,2.0,286.2552381190347,0.7344503802040663
1992,2.0,286.16744205063037,0.6466543117997503
1993,2.0,286.17286974877834,0.6520820099477191
1994,2.0,286.31573013021574,0.7949423913851206
1995,2.0,286.29823948709566,0.7774517482650367
1996,2.0,286.3700199433084,0.8492322044778007
1997,2.0,286.3860622984989,0.8652745596683076
1998,2.0,286.3661857075252,0.8453979686945559
1999,2.0,286.4643096002611,0.9435218614304972
2000,2.0,286.36237811779426,0.8415903789636445
2001,2.0,286.45618614891833,0.9353984100877142
