year,month,value
1774,6,-0.012
1774,7,0.364
1774,8,0.485
1774,9,0.633
1774,10,0.377
1774,11,-0.164
1774,12,-0.454
1775,1,-0.627
1775,2,-0.621
1775,3,-0.615
1775,4,-0.464
1775,5,-0.048
1775,6,0.042
1775,7,-0.363
1775,8,-0.501
1775,9,-0.775
1775,10,-0.803
1775,11,-0.876
1775,12,-0.709
1776,1,-0.766
1776,2,-0.735
1776,3,-0.801
1776,4,-1.024
1776,5,-1.268
1776,6,-1.026
1776,7,-0.481
1776,8,-0.469
1776,9,-0.412
1776,10,-0.517
1776,11,-0.432
1776,12,-0.6
1777,1,-0.716
1777,2,-0.902
1777,3,-0.844
1777,4,-0.94
1777,5,-0.937
1777,6,-1.04
1777,7,-1.277
1777,8,-1.194
1777,9,-1.273
1777,10,-0.902
1777,11,-0.916
1777,12,-0.98
1778,1,-0.793
1778,2,-0.816
1778,3,-0.65
1778,4,-0.572
1778,5,-0.71
1778,6,-0.834
1778,7,-1.001
1778,8,-1.072
1778,9,-0.864
1778,10,-0.956
1778,11,-0.729
1778,12,-0.678
1779,1,-0.805
1779,2,-0.704
1779,3,-0.763
1779,4,-0.629
1779,5,-0.444
1779,6,-0.402
1779,7,-0.278
1779,8,-0.327
1779,9,-0.403
1779,10,-0.068
1779,11,0.036
1779,12,0.221
1780,1,0.431
1780,2,0.394
1780,3,0.147
1780,4,0.211
1780,5,0.242
1780,6,0.22
1780,7,0.236
1780,8,0.12
1780,9,0.108
1780,10,-0.365
1780,11,-0.628
1780,12,-0.785
1781,1,-0.864
1781,2,-0.714
1781,3,-0.607
1781,4,-0.696
1781,5,-0.575
1781,6,-0.473
1781,7,-0.621
1781,8,-0.731
1781,9,-0.876
1781,10,-0.737
1781,11,-0.703
1781,12,-0.55
1782,1,-0.585
1782,2,-0.506
1782,3,-0.326
1782,4,-0.338
1782,5,-0.587
1782,6,-0.694
1782,7,-0.822
1782,8,-0.507
1782,9,-0.393
1782,10,-0.434
1782,11,-0.387
1782,12,-0.274
1783,1,-0.325
1783,2,-0.451
1783,3,-0.678
1783,4,-0.744
1783,5,-0.934
1783,6,-0.877
1783,7,-0.606
1783,8,-0.89
1783,9,-0.897
1783,10,-0.886
1783,11,-1.097
1783,12,-1.246
1784,1,-1.13
1784,2,-0.988
1784,3,-0.94
1784,4,-0.939
1784,5,-0.718
1784,6,-0.67
1784,7,-0.67
1784,8,-0.629
1784,9,-0.866
1784,10,-0.972
