,date,close,inflated
198,2010-08-20 01:00:00,0.07,0.08795531166404046
199,2010-08-23 01:00:00,0.07,0.08795531166404046
200,2010-08-26 01:00:00,0.07,0.08795531166404046
201,2010-08-29 01:00:00,0.06,0.07539026714060611
202,2010-09-01 01:00:00,0.06,0.07534643538928489
203,2010-09-04 01:00:00,0.06,0.07534643538928489
204,2010-09-07 01:00:00,0.06,0.07534643538928489
205,2010-09-10 01:00:00,0.06,0.07534643538928489
206,2010-09-13 01:00:00,0.06,0.07534643538928489
207,2010-09-16 01:00:00,0.15,0.18836608847321218
208,2010-09-19 01:00:00,0.06,0.07534643538928489
209,2010-09-22 01:00:00,0.06,0.07534643538928489
210,2010-09-25 01:00:00,0.06,0.07534643538928489
211,2010-09-28 01:00:00,0.06,0.07534643538928489
212,2010-10-01 01:00:00,0.06,0.07525273077257202
213,2010-10-04 01:00:00,0.06,0.07525273077257202
214,2010-10-07 01:00:00,0.06,0.07525273077257202
215,2010-10-10 01:00:00,0.12,0.15050546154514405
216,2010-10-13 01:00:00,0.1,0.1254212179542867
217,2010-10-16 01:00:00,0.12,0.15050546154514405
218,2010-10-19 01:00:00,0.1,0.1254212179542867
219,2010-10-22 01:00:00,0.11,0.13796333974971536
220,2010-10-25 01:00:00,0.18,0.22575819231771604
221,2010-10-28 01:00:00,0.19,0.23830031411314476
222,2010-10-31 01:00:00,0.19,0.23830031411314476
223,2010-11-03 01:00:00,0.21,0.2632738125162818
224,2010-11-06 01:00:00,0.25,0.3134212053765259
225,2010-11-09 00:00:00,0.36,0.45132653574219733
226,2010-11-12 00:00:00,0.24,0.3008843571614649
227,2010-11-15 00:00:00,0.3,0.3761054464518311
228,2010-11-18 00:00:00,0.28,0.35103175002170905
229,2010-11-21 00:00:00,0.29,0.36356859823677
230,2010-11-24 00:00:00,0.29,0.36356859823677
231,2010-11-27 00:00:00,0.29,0.36356859823677
232,2010-11-30 00:00:00,0.28,0.35103175002170905
233,2010-12-03 00:00:00,0.25,0.31288353355020326
234,2010-12-06 00:00:00,0.23,0.287852850866187
235,2010-12-09 00:00:00,0.25,0.31288353355020326
236,2010-12-12 00:00:00,0.23,0.287852850866187
237,2010-12-15 00:00:00,0.23,0.287852850866187
238,2010-12-18 00:00:00,0.25,0.31288353355020326
239,2010-12-21 00:00:00,0.27,0.3379142162342196
240,2010-12-24 00:00:00,0.25,0.31288353355020326
241,2010-12-27 00:00:00,0.27,0.3379142162342196
242,2010-12-30 00:00:00,0.3,0.3754602402602439
243,2011-01-02 00:00:00,0.3,0.3736803149534789
244,2011-01-05 00:00:00,0.3,0.3736803149534789
245,2011-01-08 00:00:00,0.32,0.3985923359503776
246,2011-01-11 00:00:00,0.33,0.4110483464488269
247,2011-01-14 00:00:00,0.42,0.5231524409348706
248,2011-01-17 00:00:00,0.4,0.49824041993797197
249,2011-01-20 00:00:00,0.35,0.4359603674457254
250,2011-01-23 00:00:00,0.43,0.5356084514333198
251,2011-01-26 00:00:00,0.43,0.5356084514333198
252,2011-01-29 00:00:00,0.45,0.5605204724302185
253,2011-02-01 00:00:00,0.61,0.7560880940223851
254,2011-02-04 00:00:00,0.78,0.9668011694056726
255,2011-02-07 00:00:00,0.92,1.1403295844272037
256,2011-02-10 00:00:00,0.97,1.2023040183634646
257,2011-02-13 00:00:00,1.09,1.3510426598104912
258,2011-02-16 00:00:00,1.08,1.3386477730232391
259,2011-02-19 00:00:00,1.04,1.28906822587423
260,2011-02-22 00:00:00,0.88,1.0907500372781946
261,2011-02-25 00:00:00,0.96,1.1899091315762125
262,2011-02-28 00:00:00,0.96,1.1899091315762125
263,2011-03-03 00:00:00,0.95,1.1661430994285509
264,2011-03-06 00:00:00,0.92,1.1293175278676493
265,2011-03-09 00:00:00,0.9,1.1047671468270484
266,2011-03-12 00:00:00,0.93,1.14159271838795
