date,close,inflated
1924-12-31 00:00:00,120.51,1812.9651734693873
1925-01-01 00:00:00,,1793.091693877551
1925-01-02 00:00:00,121.25,1788.0533469387753
1925-01-05 00:00:00,119.46,1804.8478367346936
1925-01-06 00:00:00,121.13,1804.5679285714284
1925-01-07 00:00:00,121.18,1816.0441632653058
1925-01-08 00:00:00,121.61,1809.6062755102041
1925-01-09 00:00:00,122.32,1762.5817040816326
1925-01-12 00:00:00,123.21,1742.1484081632652
1925-01-13 00:00:00,123.56,1752.5050102040816
1925-01-14 00:00:00,122.97,1758.383081632653
1925-01-15 00:00:00,121.38,1755.3040918367346
1925-01-16 00:00:00,121.71,1672.1713673469385
1925-01-19 00:00:00,122.35,1693.1644795918367
1925-01-20 00:00:00,121.74,1708.8393367346937
1925-01-21 00:00:00,122.11,1700.722
1925-01-22 00:00:00,123.6,1685.8868673469385
1925-01-23 00:00:00,123.09,1692.3247551020406
1925-01-26 00:00:00,121.9,1704.640714285714
1925-01-27 00:00:00,121.53,1700.1621836734694
1925-01-28 00:00:00,121.98,1718.356214285714
1925-01-29 00:00:00,122.44,1716.6767653061224
1925-01-30 00:00:00,123.49,1707.1598877551019
1925-02-02 00:00:00,120.46,1709.6790612244897
1925-02-03 00:00:00,120.08,1702.9612653061224
1925-02-04 00:00:00,120.56,1700.722
1925-02-05 00:00:00,120.83,1711.3585102040813
1925-02-06 00:00:00,121.48,1700.4420918367346
1925-02-09 00:00:00,122.37,1684.7672346938775
1925-02-11 00:00:00,121.23,1667.972744897959
1925-02-12 00:00:00,,1677.2097142857142
1925-02-13 00:00:00,121.73,1652.0179795918366
1925-02-16 00:00:00,117.96,1636.6230306122447
1925-02-17 00:00:00,118.48,1649.4988061224487
1925-02-18 00:00:00,120.07,1644.4604591836733
1925-02-19 00:00:00,119.71,1638.8622959183672
1925-02-20 00:00:00,121.64,1625.1467959183674
1925-02-23 00:00:00,,1614.2303775510204
1925-02-24 00:00:00,121.48,1641.381469387755
1925-02-25 00:00:00,122.15,1652.0179795918366
1925-02-26 00:00:00,122.86,1646.9796326530611
1925-02-27 00:00:00,122.24,1667.6928367346936
1925-03-02 00:00:00,123.93,1655.096969387755
1925-03-03 00:00:00,125.25,1674.9704489795918
1925-03-04 00:00:00,123.26,1667.6928367346936
1925-03-05 00:00:00,124.81,1652.5777959183672
1925-03-06 00:00:00,125.68,1625.4267040816326
1925-03-09 00:00:00,124.33,1639.4221122448978
1925-03-10 00:00:00,122.62,1629.3454183673468
1925-03-11 00:00:00,123.26,1638.8622959183672
1925-03-12 00:00:00,124.6,1636.6230306122447
1925-03-13 00:00:00,123.25,1625.1467959183674
1925-03-16 00:00:00,120.76,1613.3906530612244
1925-03-17 00:00:00,118.53,1604.9934081632653
1925-03-18 00:00:00,118.25,1604.4335918367346
1925-03-20 00:00:00,120.91,1618.1490918367347
1925-03-23 00:00:00,116.82,1644.4604591836733
1925-03-24 00:00:00,116.78,1646.6997244897957
1925-03-25 00:00:00,118.71,1635.783306122449
1925-03-26 00:00:00,116.78,1650.8983469387754
